id,year,school,dorm,mode,speed,target_units
3111,2,engineering,Loro,walk,1.51,15
3112,3,engineering,Sally Ride,bike,4.38,14
3113,3,hs_natural,Toyon,bike,4.43,13
3114,3,hs_interdisc,Crothers Memorial,bike,4.03,16
3115,3,hs_humanities,Loro,walk,1.42,16
3116,3,engineering,EVGR,bike,4.88,13
3117,3,doerr,EAST,electric,6.36,13
3118,4,engineering,Kimball,walk,1.36,16
3119,2,hs_interdisc,Columbae,walk,1.64,13
3120,4,hs_social,Mirrielees,walk,1.53,13
3121,3,engineering,Phi Kappa Psi,bike,4.49,15
3122,4,hs_interdisc,Kimball,bike,5.06,14
3123,3,hs_interdisc,Mirrielees,bike,5.45,15
3124,1,hs_social,Branner,bike,4.1,14
3125,3,hs_interdisc,Sally Ride,walk,1.42,16
3126,4,hs_natural,EVGR,walk,1.42,17
3127,3,hs_social,Xanadu,bike,5.0,12
3128,1,hs_natural,Soto,walk,1.67,17
3129,4,engineering,Crothers Memorial,bike,4.19,15
3130,2,engineering,Toyon,bike,4.14,16
3131,1,engineering,Donner,bike,4.61,19
3132,2,hs_interdisc,Ng,bike,5.04,16
3133,3,hs_social,Casa Zapata,bike,5.42,12
3134,4,hs_interdisc,Neptune,bike,5.78,13
3135,3,engineering,Murray,bike,4.72,12
3136,1,engineering,Mirlo,bike,4.14,13
3137,4,hs_social,Storey,walk,1.45,17
3138,1,hs_interdisc,Okada,walk,1.66,16
3139,1,engineering,Okada,bike,5.35,13
3140,4,hs_interdisc,Kappa Sigma,bike,5.39,16
3141,1,hs_natural,Lantana,electric,6.77,16
3142,2,hs_interdisc,Adams,bike,5.23,16
3143,3,hs_social,Mirrielees,bike,5.66,14
3144,3,hs_social,Sally Ride,walk,1.57,16
3145,1,engineering,Potter,walk,1.49,13
3146,4,hs_interdisc,aKDPhi/Chi Omega,walk,1.48,14
3147,1,engineering,Cedro,walk,1.36,14
3148,1,hs_social,West Lagunita,bike,4.04,14
3149,4,hs_interdisc,Casa Zapata,bike,4.91,15
3150,3,hs_interdisc,Kappa Sigma,bike,4.74,14
3151,2,hs_interdisc,Twain,bike,4.02,12
3152,4,engineering,Enchanted Broccoli Forest,bike,5.66,12
3153,1,hs_social,Crothers,bike,5.06,14
3154,1,hs_interdisc,Cedro,bike,4.33,18
3155,4,hs_interdisc,Terra,bike,5.5,14
3156,1,engineering,Branner,bike,5.19,14
3157,3,hs_natural,EVGR,bike,4.45,17
3158,3,hs_social,Enchanted Broccoli Forest,bike,5.3,15
3159,2,hs_natural,Roble Hall,bike,4.59,12
3160,2,engineering,Roble Hall,bike,4.0,15
3161,3,engineering,Norcliffe,bike,4.8,16
3162,2,doerr,Ng,bike,4.99,15
3163,4,hs_interdisc,Junipero,bike,5.68,12
3164,1,engineering,West Lagunita,bike,4.13,17
3165,3,engineering,Narnia,walk,1.64,15
3166,3,hs_interdisc,Yost,bike,5.52,16
3167,1,hs_social,Mirlo,bike,4.84,12
3168,1,engineering,Branner,bike,5.12,13
3169,1,engineering,Rinconada,bike,5.5,15
3170,1,engineering,Rinconada,bike,4.18,13
3171,3,engineering,Terra,bike,4.57,16
3172,4,engineering,Crothers Memorial,bike,4.25,15
3173,2,hs_social,EAST,bike,5.35,14
3174,1,hs_social,Burbank,bike,4.09,13
3175,3,hs_humanities,Adams,bike,5.24,15
3176,3,hs_natural,Roble Hall,walk,1.45,16
3177,1,hs_interdisc,Muwekma-Tah-Ruk,bike,5.21,14
3178,1,hs_interdisc,Larkin,bike,4.51,17
3179,4,hs_interdisc,Govco Suites,bike,5.41,15
3180,2,engineering,Kappa Sigma,walk,1.58,15
3181,4,engineering,Kappa Alpha Theta,bike,4.37,12
3182,4,hs_social,EVGR,bike,5.16,16
3183,4,hs_interdisc,Roble Hall,bike,5.69,17
3184,1,hs_interdisc,Cardenal,bike,5.35,15
3185,2,hs_interdisc,Adams,bike,4.01,16
3186,2,hs_humanities,Trancos,walk,1.69,12
3187,4,hs_humanities,BOB,electric,6.66,12
3188,1,engineering,Cedro,bike,5.04,13
3189,2,hs_social,Casa Zapata,bike,5.37,12
3190,4,hs_humanities,Ujamaa,bike,4.43,15
3191,3,hs_social,Govco Suites,bike,5.4,17
3192,1,engineering,Larkin,bike,4.2,13
3193,2,hs_interdisc,Adams,walk,1.3,13
3194,3,hs_humanities,Kimball,bike,5.02,15
3195,2,engineering,Pi Beta Phi,electric,6.88,14
3196,1,engineering,Branner,bike,4.41,16
3197,1,engineering,West Lagunita,bike,5.04,13
3198,2,hs_social,Kimball,walk,1.64,13
3199,2,engineering,Okada,walk,1.64,12
3200,1,engineering,Lantana,bike,4.99,15
3201,4,hs_social,Mirrielees,bike,5.66,18
3202,2,engineering,Muwekma-Tah-Ruk,bike,5.23,18
3203,4,hs_social,Robert Moore North,bike,4.28,14
3204,1,hs_interdisc,Robinson,walk,1.48,13
3205,2,hs_humanities,Cardenal,bike,4.0,12
3206,4,hs_social,Sigma Phi Epsilon,bike,4.73,13
3207,1,hs_social,Okada,bike,5.33,15
3208,3,engineering,Mirrielees,bike,4.78,16
3209,1,hs_natural,Ujamaa,walk,1.32,17
3210,1,doerr,Branner,walk,1.32,13
3211,3,hs_natural,EVGR,bike,4.42,12
3212,4,engineering,Mirrielees,bike,5.13,12
3213,4,hs_social,680 Lomita,bike,4.87,14
3214,4,hs_interdisc,Warehaus,walk,1.64,15
3215,3,engineering,Mirrielees,bike,4.82,16
3216,2,engineering,Okada,bike,4.82,15
3217,3,hs_interdisc,Okada,bike,4.77,15
3218,4,hs_social,Columbae,bike,5.53,12
3219,1,hs_interdisc,Burbank,bike,4.22,17
3220,3,engineering,680 Lomita,bike,4.54,12
3221,4,hs_natural,Govco Suites,bike,5.71,17
3222,1,hs_natural,Rinconada,bike,5.76,19
3223,4,hs_interdisc,Ujamaa,bike,5.37,14
3224,3,engineering,Kimball,walk,1.36,13
3225,3,engineering,Delta Delta Delta,bike,4.46,16
3226,4,hs_natural,Burbank,bike,4.32,13
3227,4,engineering,EVGR,bike,4.54,17
3228,4,hs_interdisc,Casa Zapata,walk,1.69,16
3229,4,hs_social,Yost,bike,5.4,13
3230,1,engineering,Burbank,bike,4.9,20
3231,2,hs_social,Burbank,electric,7.72,13
3232,4,hs_social,Terra,walk,1.66,16
3233,4,engineering,Adelfa,electric,6.99,14
3234,4,engineering,Mirrielees,bike,4.13,16
3235,4,hs_humanities,aKDPhi/Chi Omega,bike,5.09,17
3236,3,engineering,Naranja,bike,5.53,12
3237,2,engineering,Otero,electric,6.87,13
3238,4,engineering,Toyon,bike,5.39,13
3239,3,hs_interdisc,550 Lasuen,bike,5.46,13
3240,3,hs_humanities,Mirrielees,bike,4.52,13
3241,3,engineering,Jerry,bike,5.01,15
3242,4,hs_interdisc,Trancos,bike,4.15,18
3243,1,hs_interdisc,Mirlo,walk,1.39,14
3244,4,hs_natural,Ujamaa,walk,1.61,14
3245,2,engineering,Roble Hall,electric,6.34,13
3246,4,doerr,Storey,bike,5.07,13
3247,1,hs_social,Rinconada,walk,1.42,12
3248,2,engineering,Paloma,bike,5.08,15
3249,1,engineering,West Lagunita,walk,1.7,14
3250,2,hs_interdisc,Hammarskjold,bike,4.45,16
3251,2,hs_interdisc,Synergy,electric,7.12,15
3252,3,hs_humanities,EVGR,walk,1.38,16
3253,4,hs_interdisc,Naranja,bike,4.5,14
3254,2,engineering,Toyon,bike,5.29,16
3255,1,engineering,Branner,bike,5.68,19
3256,4,hs_social,EVGR,bike,4.3,15
3257,4,hs_social,Mirrielees,bike,5.24,14
3258,2,engineering,Otero,walk,1.57,14
3259,2,hs_interdisc,Cardenal,bike,4.51,17
3260,4,hs_interdisc,550 Lasuen,bike,4.27,17
3261,1,hs_interdisc,Casa Zapata,bike,4.82,13
3262,2,hs_humanities,Kimball,bike,4.08,15
3263,2,hs_humanities,Crothers Memorial,bike,4.3,17
3264,3,hs_interdisc,Murray,walk,1.65,12
3265,1,hs_interdisc,Branner,bike,4.76,15
3266,2,hs_interdisc,Pi Beta Phi,bike,4.9,15
3267,2,hs_social,Cardenal,walk,1.55,12
3268,3,hs_interdisc,Casa Zapata,bike,5.1,16
3269,4,engineering,Govco Suites,bike,4.01,12
3270,1,engineering,Lantana,bike,5.65,18
3271,2,hs_interdisc,Alpha Phi/KKG,bike,4.69,12
3272,3,hs_social,Meier,walk,1.59,17
3273,1,engineering,Otero,bike,5.07,14
3274,4,engineering,Murray,bike,5.44,19
3275,1,engineering,Rinconada,bike,4.67,16
3276,4,engineering,Neptune,walk,1.66,13
3277,3,engineering,Adams,bike,4.99,15
3278,3,hs_interdisc,Mirrielees,bike,5.61,12
3279,2,hs_social,Cardenal,walk,1.33,14
3280,3,engineering,Gavilan,bike,4.53,13
3281,1,hs_natural,Soto,bike,4.47,12
3282,2,engineering,Kappa Sigma,bike,4.86,15
3283,3,hs_humanities,Okada,bike,4.32,17
3284,1,hs_interdisc,Castano,bike,5.08,17
3285,3,engineering,Durand,walk,1.57,19
3286,2,engineering,Sigma Phi Epsilon,bike,4.16,13
3287,1,engineering,Schiff,bike,5.7,16
3288,1,engineering,Ujamaa,bike,5.05,18
3289,1,engineering,Burbank,bike,5.69,15
3290,2,hs_natural,Trancos,bike,4.86,15
3291,2,engineering,Terra,electric,7.06,12
3292,2,hs_natural,Sally Ride,bike,5.29,14
3293,4,engineering,Mirrielees,walk,1.38,17
3294,4,hs_humanities,EAST,walk,1.5,14
3295,4,hs_natural,Junipero,bike,4.39,14
3296,3,engineering,Kappa Alpha,bike,4.43,12
3297,3,hs_humanities,Sigma Nu,walk,1.56,13
3298,2,engineering,Meier,bike,4.18,16
3299,3,engineering,Crothers Memorial,bike,5.36,15
3300,2,hs_social,Enchanted Broccoli Forest,bike,4.95,16
3301,2,engineering,Adams,electric,6.42,15
3302,4,hs_interdisc,Kimball,electric,6.67,14
3303,2,engineering,Delta Delta Delta,walk,1.63,14
3304,4,engineering,EVGR,walk,1.65,17
3305,3,engineering,Pi Beta Phi,bike,5.0,14
3306,4,doerr,576 Alvarado,walk,1.35,17
3307,4,hs_interdisc,Otero,bike,4.69,16
3308,3,engineering,Naranja,walk,1.56,13
3309,1,engineering,Casa Zapata,bike,5.03,14
3310,4,hs_social,EVGR,walk,1.38,16
3311,4,hs_social,Loro,electric,7.91,17
3312,3,hs_social,Cardenal,bike,4.4,13
3313,4,hs_humanities,Roth,walk,1.44,12
3314,2,hs_social,Kimball,walk,1.51,13
3315,3,hs_interdisc,Twain,bike,5.17,12
3316,2,hs_interdisc,Ujamaa,bike,4.37,12
3317,4,hs_interdisc,Govco Suites,bike,4.25,12
3318,4,engineering,Ng,bike,4.75,15
3319,3,hs_social,Casa Zapata,bike,5.55,17
3320,3,engineering,Kimball,bike,4.72,17
3321,3,hs_natural,Mirrielees,walk,1.31,19
3322,2,engineering,Muwekma-Tah-Ruk,bike,4.5,16
3323,3,hs_social,EAST,bike,4.83,14
3324,2,engineering,Kimball,bike,4.18,13
3325,1,engineering,Cedro,bike,4.26,15
3326,3,engineering,Sigma Phi Epsilon,bike,4.14,17
3327,1,hs_natural,Otero,bike,5.77,16
3328,1,engineering,Branner,bike,5.12,12
3329,3,hs_interdisc,Ujamaa,walk,1.7,19
3330,2,engineering,Terra,walk,1.56,15
3331,1,hs_social,Rinconada,bike,4.42,14
3332,3,hs_humanities,Gavilan,bike,4.6,15
3333,3,hs_interdisc,Potter,walk,1.32,12
3334,2,engineering,Ng,walk,1.69,16
3335,4,hs_social,Enchanted Broccoli Forest,bike,5.24,14
3336,1,hs_humanities,Schiff,bike,4.73,16
3337,2,engineering,Ujamaa,bike,4.27,17
3338,2,hs_humanities,Toyon,bike,5.71,17
3339,3,engineering,Otero,bike,5.23,17
3340,2,hs_social,Faisan,walk,1.32,17
3341,2,engineering,Cardenal,bike,5.47,13
3342,3,hs_interdisc,Toyon,walk,1.67,12
3343,2,hs_natural,Enchanted Broccoli Forest,bike,5.49,17
3344,4,engineering,Mirrielees,bike,4.1,15
3345,4,hs_interdisc,Storey,walk,1.37,15
3346,2,hs_social,Sigma Phi Epsilon,bike,4.75,16
3347,4,hs_social,Govco Suites,bike,5.34,15
3348,3,hs_natural,Mirrielees,walk,1.63,12
3349,2,hs_social,Meier,bike,5.23,14
3350,3,hs_interdisc,Grove,bike,4.12,13
3351,3,engineering,Crothers Memorial,bike,5.55,12
3352,4,hs_humanities,Hammarskjold,walk,1.56,16
3353,3,engineering,Mirrielees,bike,4.72,13
3354,3,hs_natural,EVGR,walk,1.61,14
3355,4,hs_natural,Govco Suites,bike,5.43,13
3356,2,engineering,Delta Delta Delta,bike,5.1,12
3357,3,hs_interdisc,EVGR,bike,4.95,17
3358,1,engineering,Rinconada,bike,4.1,13
3359,3,engineering,Sally Ride,bike,5.66,17
3360,1,engineering,Crothers,bike,4.8,18
3361,4,hs_social,Crothers Memorial,bike,5.53,15
3362,4,engineering,Toussaint,walk,1.43,14
3363,3,engineering,Kimball,bike,4.23,13
3364,1,engineering,Burbank,walk,1.51,13
3365,1,hs_interdisc,Robinson,bike,5.44,15
3366,2,hs_natural,Sally Ride,bike,4.15,16
3367,2,engineering,Pi Beta Phi,electric,6.29,13
3368,3,hs_interdisc,EVGR,bike,5.07,15
3369,1,hs_humanities,Castano,walk,1.41,12
3370,2,hs_humanities,Murray,bike,5.07,14
3371,1,engineering,Burbank,bike,4.81,16
3372,4,engineering,Kappa Sigma,bike,5.46,14
3373,1,hs_interdisc,Castano,walk,1.55,14
3374,1,hs_interdisc,Branner,bike,5.43,14
3375,1,hs_natural,Casa Zapata,bike,5.77,19
3376,1,hs_natural,Donner,bike,4.1,14
3377,1,engineering,Otero,bike,5.47,15
3378,2,hs_humanities,Crothers Memorial,bike,5.49,13
3379,1,hs_humanities,West Lagunita,bike,4.23,13
3380,2,hs_social,Kimball,bike,5.41,13
3381,2,hs_interdisc,Junipero,walk,1.64,20
3382,4,hs_humanities,Ujamaa,bike,4.95,13
3383,4,engineering,Pi Beta Phi,bike,5.79,15
3384,4,engineering,Alpha Phi/KKG,walk,1.54,14
3385,1,engineering,Okada,bike,5.27,13
3386,2,engineering,Casa Zapata,bike,5.69,16
3387,4,hs_humanities,Yost,bike,5.09,14
3388,4,engineering,Govco Suites,bike,5.44,20
3389,3,engineering,Yost,bike,5.13,14
3390,2,hs_interdisc,Kairos,bike,4.68,15
3391,4,hs_social,Toyon,bike,4.37,15
3392,1,engineering,Burbank,bike,5.47,19
3393,1,engineering,Alondra,bike,5.64,15
3394,4,hs_natural,Warehaus,bike,5.29,14
3395,1,hs_social,Cardenal,walk,1.68,15
3396,3,hs_humanities,Adelfa,bike,5.49,13
3397,4,hs_social,Junipero,bike,4.74,16
3398,1,engineering,Ujamaa,bike,5.76,18
3399,3,hs_interdisc,Loro,bike,4.65,16
3400,2,hs_natural,Kappa Sigma,bike,4.39,14
3401,4,engineering,Crothers Memorial,electric,7.55,20
3402,1,hs_interdisc,Burbank,bike,4.35,14
3403,3,engineering,Mirrielees,bike,4.27,13
3404,4,hs_social,EVGR,walk,1.48,17
3405,2,hs_social,Enchanted Broccoli Forest,walk,1.46,17
3406,3,engineering,Roble Hall,bike,4.81,16
3407,3,hs_interdisc,Trancos,walk,1.32,18
3408,4,hs_social,Muwekma-Tah-Ruk,bike,5.09,12
3409,3,doerr,Otero,bike,4.92,12
3410,1,hs_interdisc,Branner,bike,5.19,17
3411,4,hs_natural,Columbae,electric,7.66,15
3412,3,hs_interdisc,Synergy,bike,4.89,12
3413,2,hs_social,Ng,walk,1.42,17
3414,1,engineering,Crothers,bike,4.25,18
3415,3,engineering,Faisan,bike,4.08,13
3416,2,engineering,Roble Hall,electric,6.87,13
3417,4,hs_interdisc,Warehaus,bike,5.15,15
3418,1,hs_humanities,Donner,bike,4.81,14
3419,1,hs_humanities,Cedro,bike,4.52,14
3420,2,engineering,Naranja,bike,5.58,19
3421,2,hs_interdisc,Roble Hall,bike,4.96,15
3422,1,hs_humanities,Potter,bike,4.61,14
3423,2,hs_humanities,Kimball,bike,4.32,14
3424,3,hs_natural,EVGR,bike,4.96,15
3425,1,hs_natural,Potter,bike,4.04,16
3426,2,hs_humanities,Sally Ride,bike,4.88,14
3427,2,engineering,Toyon,bike,4.59,16
3428,1,hs_humanities,Burbank,electric,7.93,12
3429,2,hs_social,Cardenal,electric,6.02,15
3430,3,hs_humanities,Sigma Phi Epsilon,bike,4.54,12
3431,3,hs_interdisc,Warehaus,walk,1.43,17
3432,2,hs_interdisc,Norcliffe,bike,4.29,16
3433,4,hs_social,Columbae,bike,4.74,16
3434,3,hs_humanities,EVGR,bike,5.1,15
3435,4,hs_social,Crothers Memorial,bike,5.19,17
3436,2,hs_interdisc,Toyon,bike,4.14,12
3437,4,doerr,Cardenal,bike,4.84,13
3438,1,hs_interdisc,Rinconada,bike,4.67,17
3439,2,hs_social,Paloma,bike,5.48,15
3440,3,hs_social,Twain,bike,4.55,17
3441,4,engineering,Crothers Memorial,walk,1.7,14
3442,1,hs_social,Potter,bike,5.77,14
3443,3,hs_interdisc,Meier,bike,5.0,12
3444,1,engineering,Casa Zapata,bike,5.63,19
3445,4,hs_natural,Crothers Memorial,walk,1.62,13
3446,2,hs_natural,Kappa Sigma,bike,5.6,12
3447,4,engineering,Xanadu,bike,5.03,12
3448,2,hs_interdisc,Norcliffe,bike,4.59,12
3449,2,hs_social,Roble Hall,bike,5.36,13
3450,2,hs_social,Muwekma-Tah-Ruk,bike,4.57,13
3451,4,hs_humanities,Pluto,walk,1.7,14
3452,4,engineering,Loro,bike,5.63,13
3453,2,hs_interdisc,Terra,bike,5.66,17
3454,4,hs_interdisc,Crothers Memorial,bike,5.08,17
3455,2,hs_social,Delta Delta Delta,bike,5.67,16
3456,1,engineering,Donner,walk,1.59,13
3457,3,hs_natural,EVGR,bike,4.16,12
3458,3,hs_interdisc,680 Lomita,bike,5.09,16
3459,2,engineering,Delta Delta Delta,bike,5.16,13
3460,3,engineering,Kimball,walk,1.33,17
3461,4,engineering,Muwekma-Tah-Ruk,walk,1.41,16
3462,1,engineering,Muwekma-Tah-Ruk,bike,4.38,12
3463,1,hs_interdisc,West Lagunita,bike,5.67,15
3464,1,hs_interdisc,Lantana,bike,4.05,14
3465,2,hs_interdisc,Kimball,bike,5.21,17
3466,1,engineering,Burbank,bike,5.11,16
3467,3,hs_interdisc,Potter,bike,4.9,18
3468,3,engineering,Burbank,bike,5.56,12
3469,3,engineering,Mars,bike,5.43,14
3470,2,hs_natural,Potter,walk,1.46,12
3471,1,hs_interdisc,Schiff,bike,5.63,13
3472,3,hs_interdisc,Crothers Memorial,bike,5.59,15
3473,4,hs_interdisc,Synergy,walk,1.69,17
3474,2,hs_natural,Roble Hall,bike,5.39,14
3475,3,hs_interdisc,Roth,walk,1.32,12
3476,4,hs_humanities,Burbank,bike,5.62,14
3477,2,engineering,Kappa Alpha Theta,bike,4.52,16
3478,1,hs_social,Cedro,bike,4.79,15
3479,1,hs_humanities,West Lagunita,bike,4.68,19
3480,4,engineering,Kappa Sigma,bike,5.43,16
3481,3,hs_natural,Junipero,bike,5.16,18
3482,1,hs_interdisc,Crothers,walk,1.65,14
3483,4,engineering,Terra,bike,5.41,15
3484,2,engineering,Junipero,bike,5.42,17
3485,1,engineering,Okada,bike,5.36,17
3486,4,hs_natural,Adams,bike,4.54,12
3487,4,engineering,Yost,bike,5.8,15
3488,3,hs_interdisc,Roble Hall,bike,5.0,15
3489,3,doerr,Govco Suites,walk,1.61,15
3490,1,hs_interdisc,Potter,walk,1.47,14
3491,2,hs_natural,Crothers Memorial,bike,5.4,12
3492,3,engineering,Kimball,bike,4.4,13
3493,3,engineering,Roble Hall,bike,4.5,13
3494,1,hs_humanities,West Lagunita,bike,5.03,12
3495,3,engineering,Gavilan,walk,1.55,14
3496,1,hs_natural,Ujamaa,walk,1.36,12
3497,1,hs_social,Larkin,bike,5.3,13
3498,4,hs_social,Norcliffe,bike,4.47,17
3499,2,hs_natural,Synergy,bike,5.31,17
3500,1,hs_humanities,Donner,bike,5.18,13
3501,2,engineering,Crothers Memorial,bike,4.05,13
3502,2,hs_interdisc,Kimball,walk,1.54,13
3503,3,hs_interdisc,Kimball,bike,4.55,13
3504,4,engineering,Adams,bike,4.86,13
3505,4,hs_social,Trancos,bike,4.07,13
3506,2,engineering,Roble Hall,bike,4.94,13
3507,4,engineering,EVGR,bike,5.7,14
3508,2,hs_natural,Burbank,walk,1.44,16
3509,1,hs_interdisc,Otero,bike,4.42,14
3510,1,engineering,Okada,electric,6.49,13
3511,2,hs_interdisc,Burbank,walk,1.47,16
3512,4,hs_social,Alpha Phi/KKG,bike,5.5,15
3513,4,engineering,EVGR,walk,1.62,14
3514,4,hs_interdisc,Potter,bike,4.18,14
3515,2,hs_social,Hammarskjold,bike,5.36,13
3516,3,engineering,Toyon,walk,1.48,18
3517,4,hs_interdisc,Robert Moore North,walk,1.3,14
3518,3,hs_humanities,Alpha Phi/KKG,walk,1.58,12
3519,1,hs_social,Castano,bike,4.06,14
3520,3,engineering,Xanadu,bike,4.74,13
3521,2,engineering,Sigma Phi Epsilon,bike,4.14,14
3522,2,engineering,Kimball,walk,1.39,12
3523,2,hs_interdisc,Norcliffe,bike,4.9,15
3524,4,engineering,Kappa Alpha,walk,1.45,16
3525,4,hs_humanities,Junipero,bike,5.42,17
3526,3,hs_natural,Roble Hall,bike,4.22,16
3527,4,engineering,Naranja,bike,4.67,17
3528,1,hs_interdisc,West Lagunita,bike,4.56,16
3529,2,engineering,Sigma Nu,bike,4.57,14
3530,4,engineering,Yost,bike,5.49,17
3531,2,hs_humanities,Okada,bike,4.23,14
3532,3,engineering,Columbae,bike,4.85,14
3533,1,hs_interdisc,Soto,bike,4.44,12
3534,2,engineering,EAST,bike,5.74,12
3535,1,hs_natural,Lantana,electric,6.65,16
3536,4,hs_natural,Ujamaa,bike,5.3,17
3537,2,hs_interdisc,Robert Moore North,bike,4.77,15
3538,1,hs_interdisc,Ujamaa,bike,5.41,15
3539,2,hs_social,Casa Zapata,electric,7.9,15
3540,4,hs_interdisc,Junipero,bike,4.51,13
3541,1,hs_natural,Larkin,bike,4.89,14
3542,4,hs_interdisc,Kimball,walk,1.54,16
3543,3,engineering,Potter,bike,5.25,13
3544,1,engineering,Ujamaa,bike,5.15,14
3545,4,engineering,Meier,bike,5.78,15
3546,3,hs_natural,Loro,bike,5.15,16
3547,1,hs_interdisc,Casa Zapata,bike,5.1,15
3548,1,engineering,Castano,bike,5.3,14
3549,1,engineering,Potter,walk,1.36,14
3550,1,engineering,Robinson,bike,4.1,16
3551,3,hs_interdisc,Trancos,walk,1.32,15
3552,4,hs_interdisc,Toyon,electric,7.56,14
3553,3,hs_natural,Kappa Alpha,bike,5.42,13
3554,4,doerr,Kappa Alpha,walk,1.61,17
3555,3,engineering,Govco Suites,electric,6.19,12
3556,4,engineering,Ng,bike,5.51,12
3557,1,engineering,Donner,walk,1.55,14
3558,4,hs_social,Mirrielees,walk,1.54,14
3559,3,engineering,Otero,bike,4.9,13
3560,4,hs_social,EVGR,bike,4.17,18
3561,4,engineering,EVGR,walk,1.38,15
3562,4,hs_natural,Otero,bike,5.16,13
3563,1,hs_interdisc,Alondra,bike,4.23,16
3564,4,engineering,Adams,bike,5.13,16
3565,3,engineering,EVGR,walk,1.53,13
3566,4,engineering,Ng,bike,4.61,17
3567,3,engineering,Roble Hall,bike,5.41,12
3568,1,engineering,Rinconada,bike,5.58,13
3569,3,hs_natural,Adams,bike,4.97,15
3570,4,engineering,Mirrielees,bike,5.71,13
3571,4,hs_social,Synergy,bike,5.52,14
3572,3,doerr,Ng,bike,4.58,15
3573,2,engineering,Adams,walk,1.32,12
3574,2,engineering,Burbank,walk,1.32,18
3575,3,engineering,Alpha Phi/KKG,walk,1.58,15
3576,1,engineering,Rinconada,walk,1.35,16
3577,3,engineering,Govco Suites,walk,1.43,18
3578,3,hs_interdisc,680 Lomita,bike,5.57,12
3579,2,hs_social,Loro,bike,4.5,17
3580,3,hs_interdisc,Okada,bike,5.46,18
3581,2,engineering,Ng,bike,4.13,15
3582,2,engineering,Potter,bike,4.86,16
3583,3,hs_interdisc,Hammarskjold,bike,4.65,15
3584,4,engineering,Twain,bike,5.07,17
3585,2,hs_interdisc,Ujamaa,walk,1.52,13
3586,2,engineering,Potter,bike,5.16,12
3587,4,engineering,Okada,bike,5.66,15
3588,2,hs_natural,Norcliffe,walk,1.35,15
3589,4,hs_interdisc,Yost,walk,1.35,13
3590,4,hs_interdisc,Toussaint,bike,5.05,13
3591,1,hs_interdisc,Burbank,walk,1.49,13
3592,4,hs_interdisc,Loro,bike,4.28,15
3593,1,hs_interdisc,Rinconada,bike,4.83,17
3594,3,hs_interdisc,Loro,walk,1.53,17
3595,1,hs_interdisc,Schiff,bike,4.4,15
3596,2,hs_natural,Columbae,walk,1.34,18
3597,2,hs_natural,Meier,bike,4.19,13
3598,4,hs_social,EVGR,bike,4.27,12
3599,4,hs_natural,Junipero,bike,4.44,17
3600,3,hs_interdisc,Faisan,bike,4.96,14
3601,1,engineering,Soto,bike,4.32,14
3602,4,hs_natural,Kappa Alpha,bike,5.39,16
3603,1,hs_interdisc,Donner,bike,5.62,15
3604,2,hs_humanities,Gavilan,walk,1.64,16
3605,3,hs_interdisc,Columbae,bike,5.59,17
3606,4,hs_interdisc,Ujamaa,walk,1.32,14
3607,2,hs_social,Cardenal,bike,4.87,14
3608,3,hs_social,Robert Moore North,bike,5.71,13
3609,4,engineering,Synergy,bike,5.62,18
3610,2,hs_natural,Kimball,bike,4.45,15
3611,4,hs_interdisc,Norcliffe,bike,5.76,13
3612,4,engineering,Sally Ride,walk,1.47,17
3613,1,hs_interdisc,Potter,bike,4.93,15
3614,3,hs_social,Govco Suites,bike,4.38,13
3615,4,hs_humanities,Columbae,bike,5.38,12
3616,2,engineering,Enchanted Broccoli Forest,bike,4.26,12
3617,3,hs_social,Warehaus,walk,1.39,16
3618,1,hs_interdisc,Larkin,bike,5.43,14
3619,4,hs_interdisc,Trancos,bike,4.36,13
3620,1,doerr,Branner,bike,4.3,14
3621,1,engineering,Branner,walk,1.59,16
3622,1,hs_humanities,Rinconada,bike,4.79,16
3623,3,hs_natural,Kappa Alpha Theta,electric,7.45,15
3624,3,hs_social,Roth,walk,1.35,12
3625,2,hs_humanities,Toyon,walk,1.47,17
3626,4,hs_humanities,Gavilan,bike,5.72,16
3627,4,engineering,Kimball,bike,4.25,12
3628,4,engineering,Junipero,bike,5.68,12
3629,4,engineering,Mirrielees,bike,4.27,17
3630,3,hs_social,Norcliffe,bike,5.49,12
3631,1,hs_natural,Cedro,bike,5.58,14
3632,4,hs_interdisc,Ujamaa,electric,7.56,18
3633,4,hs_humanities,ZAP,walk,1.37,15
3634,4,engineering,Toyon,walk,1.49,14
3635,1,hs_interdisc,Rinconada,bike,5.61,14
3636,1,hs_interdisc,Larkin,bike,5.73,14
3637,2,hs_natural,Pi Beta Phi,bike,4.03,13
3638,1,hs_interdisc,Soto,bike,4.97,15
3639,1,engineering,Ujamaa,walk,1.36,15
3640,3,hs_interdisc,Alpha Phi/KKG,bike,4.95,17
3641,4,doerr,Columbae,bike,5.43,13
3642,2,hs_humanities,Crothers Memorial,walk,1.52,16
3643,3,engineering,Mars,walk,1.68,20
3644,1,hs_interdisc,Mirlo,bike,4.41,13
3645,1,hs_interdisc,Alondra,bike,4.36,14
3646,3,engineering,Okada,walk,1.39,17
3647,2,hs_humanities,Alpha Phi/KKG,walk,1.36,14
3648,1,hs_interdisc,Branner,walk,1.35,13
3649,1,hs_humanities,Schiff,bike,4.85,14
3650,2,hs_interdisc,Kimball,bike,4.05,16
3651,3,hs_social,EVGR,bike,5.59,13
